time,seconds_elapsed,bpm
1755571780113000000,-4294306.228,125
1755571781122000000,-4294305.2190002445,126
1755571782129000000,-4294304.212,126
1755571783136000000,-4294303.205,126
1755571784144000000,-4294302.197,127
1755571785152000000,-4294301.189,127
1755571786160000000,-4294300.181,128
1755571787168000000,-4294299.173,129
1755571788176000000,-4294298.165,129
1755571789184000000,-4294297.157,130
1755571790192000000,-4294296.149,130
1755571791200000000,-4294295.141,130
1755571792208000000,-4294294.133,130
1755571793215000000,-4294293.126,130
1755571794223000000,-4294292.118,130
1755571795231000000,-4294291.11,130
1755571796239000000,-4294290.102,131
1755571797246000000,-4294289.094999756,131
1755571798254000000,-4294288.086999756,131
1755571799262000000,-4294287.078999756,132
1755571800270000000,-4294286.0709997555,133
1755571801277000000,-4294285.064,134
1755571802285000000,-4294284.056,135
1755571803293000000,-4294283.048,135
1755571804301000000,-4294282.04,135
1755571805309000000,-4294281.032,135
1755571806317000000,-4294280.024,135
1755571807324000000,-4294279.017,136
1755571808332000000,-4294278.009,136
1755571809340000000,-4294277.001,136
1755571810348000000,-4294275.993,136
1755571811355000000,-4294274.986,136
1755571812363000000,-4294273.978,137
1755571813371000000,-4294272.97,137
1755571814379000000,-4294271.962,136
1755571815387000000,-4294270.954,136
1755571816394000000,-4294269.947000244,136
1755571817402000000,-4294268.939000244,137
1755571818410000000,-4294267.931000244,137
1755571819418000000,-4294266.923000244,137
1755571820425000000,-4294265.916,137
1755571821433000000,-4294264.908,138
1755571822441000000,-4294263.9,138
1755571823449000000,-4294262.892,138
1755571824458000000,-4294261.883000244,138
1755571825466000000,-4294260.875000244,138
1755571826474000000,-4294259.867000245,138
1755571827482000000,-4294258.859000244,138
1755571828490000000,-4294257.851000244,138
1755571829498000000,-4294256.843000244,138
1755571830505000000,-4294255.836,138
1755571831513000000,-4294254.828,139
1755571832522000000,-4294253.819000244,140
1755571833529000000,-4294252.812,141
1755571834537000000,-4294251.804,141
1755571835544000000,-4294250.797,141
1755571836552000000,-4294249.789,141
1755571837560000000,-4294248.781,142
1755571838568000000,-4294247.773,142
1755571839576000000,-4294246.765,143
1755571840584000000,-4294245.757,143
1755571841592000000,-4294244.749,144
1755571842600000000,-4294243.741,144
1755571843608000000,-4294242.733,144
1755571844617000000,-4294241.724,144
1755571845625000000,-4294240.716,144
1755571846633000000,-4294239.708,145
1755571847641000000,-4294238.7,145
1755571848649000000,-4294237.692,145
1755571849657000000,-4294236.684,145
1755571850665000000,-4294235.676,145
1755571851673000000,-4294234.668,145
1755571852682000000,-4294233.659000244,145
1755571853686000000,-4294232.654999756,145
1755571854694000000,-4294231.646999756,146
1755571855703000000,-4294230.638,146
1755571856711000000,-4294229.63,147
1755571857719000000,-4294228.622,147
1755571858728000000,-4294227.613,147
1755571859736000000,-4294226.605,147
1755571860745000000,-4294225.596,147
1755571861753000000,-4294224.588,147
1755571862761000000,-4294223.58,146
1755571863769000000,-4294222.572,146
1755571864777000000,-4294221.564,146
1755571865784000000,-4294220.557,145
1755571866793000000,-4294219.548,145
1755571867801000000,-4294218.54,145
1755571868809000000,-4294217.532,145
1755571869817000000,-4294216.524,144
1755571870825000000,-4294215.516,144
1755571871833000000,-4294214.508,144
1755571872841000000,-4294213.5,144
1755571873849000000,-4294212.492,143
1755571874857000000,-4294211.484,143
1755571875865000000,-4294210.476,143
1755571876873000000,-4294209.468,142
1755571877882000000,-4294208.459000244,142
1755571878890000000,-4294207.451000244,142
1755571879899000000,-4294206.442,142
1755571880907000000,-4294205.434,142
1755571881915000000,-4294204.426,142
1755571882924000000,-4294203.417,141
1755571883932000000,-4294202.409,141
1755571884940000000,-4294201.401,141
1755571885948000000,-4294200.393,140
1755571886957000000,-4294199.384,140
1755571887964000000,-4294198.377,139
1755571888972000000,-4294197.369,139
1755571889981000000,-4294196.36,139
1755571890989000000,-4294195.352,139
1755571891998000000,-4294194.342999755,139
1755571893006000000,-4294193.334999756,139
1755571894014000000,-4294192.326999756,139
1755571895023000000,-4294191.318,139
1755571896030000000,-4294190.310999756,139
1755571897039000000,-4294189.302,138
1755571898047000000,-4294188.294,138
1755571899054000000,-4294187.286999756,137
1755571900062000000,-4294186.278999756,135
1755571901069000000,-4294185.272,134
1755571902077000000,-4294184.264,133
1755571903085000000,-4294183.256,132
1755571904093000000,-4294182.248,131
1755571905101000000,-4294181.24,131
1755571906109000000,-4294180.232,130
1755571907117000000,-4294179.224,129
1755571908122000000,-4294178.2190002445,128
1755571909130000000,-4294177.211000244,127
1755571910138000000,-4294176.203000244,126
1755571911146000000,-4294175.195000244,126
1755571912154000000,-4294174.187000244,125
1755571913162000000,-4294173.1790002445,125
1755571914170000000,-4294172.171000244,125
1755571915177000000,-4294171.164,125
1755571916185000000,-4294170.156,125
1755571917193000000,-4294169.148,125
1755571918201000000,-4294168.14,125
1755571919209000000,-4294167.132,124
1755571920217000000,-4294166.124,124
1755571921226000000,-4294165.115000244,124
1755571922234000000,-4294164.107000244,124
1755571923241000000,-4294163.1,124
