time,seconds_elapsed,relativeAltitude,pressure
1759866464609030000,378.2680297851563,-1.9235763549804688,1022.9384765625
1759866464709018000,378.36801806640625,-1.9235763549804688,1022.9384765625
1759866464809006300,378.4680063476562,-2.1085357666015625,1022.9609375
1759866464908994600,378.56799462890626,-2.2248001098632812,1022.97509765625
1759866465008982800,378.66798266601563,-2.2248001098632812,1022.97509765625
1759866465108971000,378.7679709472656,-2.2723617553710938,1022.98095703125
1759866465208959000,378.867958984375,-2.02398681640625,1022.950927734375
1759866465308947200,378.967947265625,-2.02398681640625,1022.950927734375
1759866465408935200,379.0679350585938,-2.0081329345703125,1022.948974609375
1759866465508923400,379.16792333984375,-1.9658584594726562,1022.943603515625
1759866465608911600,379.26791162109373,-1.992279052734375,1022.94677734375
1759866465708899800,379.36789990234377,-1.8125991821289062,1022.92529296875
1759866465808887800,379.4678876953125,-1.7491912841796875,1022.917724609375
1759866465908876000,379.5678759765625,-1.928863525390625,1022.93896484375
1759866466008864300,379.6678642578125,-2.0345535278320312,1022.9521484375
1759866466108852500,379.7678525390625,-2.0768280029296875,1022.95703125
1759866466208840000,379.86783984375,-1.9711380004882812,1022.944091796875
1759866466308828000,379.9678278808594,-1.9182968139648438,1022.93798828125
1759866466408815600,380.06781567382814,-1.992279052734375,1022.947021484375
1759866466508803800,380.1678039550781,-2.219512939453125,1022.974365234375
1759866466608792000,380.2677919921875,-2.0979690551757812,1022.95947265625
1759866466708780300,380.3677802734375,-2.06097412109375,1022.955322265625
1759866466808768000,380.4677680664062,-2.1613845825195312,1022.967529296875
1759866466908756200,380.56775610351565,-2.1772384643554688,1022.968994140625
1759866467008744400,380.6677443847656,-2.1243896484375,1022.962646484375
1759866467108732700,380.7677326660156,-2.1508102416992188,1022.96630859375
1759866467208721000,380.86772094726564,-2.2723617553710938,1022.98046875
1759866467308708900,380.967708984375,-2.0662612915039062,1022.955810546875
1759866467408696800,381.06769677734377,-1.9552841186523438,1022.942626953125
1759866467508684800,381.16768481445314,-2.02398681640625,1022.950439453125
1759866467608672800,381.2676728515625,-2.1032562255859375,1022.960205078125
1759866467708660700,381.36766064453127,-1.99755859375,1022.947265625
1759866467808648000,381.46764794921876,-1.9817123413085938,1022.9453125
1759866467908636000,381.5676359863281,-1.5695114135742188,1022.895751953125
1759866468008623900,381.6676237792969,-1.5695114135742188,1022.8955078125
1759866468108611800,381.76761181640626,-1.6276473999023438,1022.90283203125
1759866468208599800,381.8675998535156,-1.701629638671875,1022.911865234375
1759866468308587800,381.967587890625,-1.701629638671875,1022.911865234375
1759866468408575700,382.06757568359376,-1.701629638671875,1022.91162109375
1759866468508563700,382.16756372070313,-1.9341506958007812,1022.939697265625
1759866468608551700,382.2675517578125,-1.9341506958007812,1022.939697265625
1759866468708540000,382.36753979492187,-2.0768280029296875,1022.956787109375
1759866468808528100,382.4675280761719,-1.8548812866210938,1022.93017578125
1759866468908516400,382.5675163574219,-1.8548812866210938,1022.93017578125
1759866469008504600,382.66750463867186,-2.0028457641601562,1022.9482421875
1759866469108492800,382.7674929199219,-2.0979690551757812,1022.95947265625
1759866469208481000,382.86748095703126,-2.0979690551757812,1022.95947265625
1759866469308469000,382.96746899414063,-1.9447174072265625,1022.94091796875
1759866469408457200,383.0674572753906,-1.9500045776367188,1022.94189453125
1759866469508445200,383.16744506835937,-1.9500045776367188,1022.94189453125
1759866469608433200,383.26743310546874,-1.8865890502929688,1022.93408203125
1759866469708421400,383.3674213867188,-1.6540679931640625,1022.906005859375
1759866469808443600,383.4674436035156,-1.6223602294921875,1022.902099609375
1759866469908465200,383.56746508789064,-1.8231735229492188,1022.926513671875
1759866470008486700,383.6674865722656,-1.8865890502929688,1022.933837890625
1759866470108508200,383.7675080566406,-1.8601608276367188,1022.930908203125
1759866470208529700,383.86752978515625,-1.9394302368164062,1022.9404296875
1759866470308551400,383.9675515136719,-1.9500045776367188,1022.94189453125
1759866470408573000,384.0675729980469,-1.8865890502929688,1022.93408203125
1759866470508594400,384.16759448242186,-2.1930923461914062,1022.97119140625
1759866470608616000,384.2676159667969,-2.055694580078125,1022.954345703125
1759866470708637200,384.36763720703124,-2.2617874145507812,1022.9794921875
1759866470808659500,384.46765942382814,-2.2882156372070312,1022.982421875
1759866470908681000,384.5676809082031,-2.2987823486328125,1022.98388671875
1759866471008702700,384.66770263671873,-2.2406539916992188,1022.977294921875
1759866471108724200,384.76772412109375,-2.1508102416992188,1022.966064453125
1759866471208745700,384.8677458496094,-2.0715484619140625,1022.95654296875
1759866471308767200,384.9677673339844,-1.9869918823242188,1022.9462890625
1759866471408788700,385.06778881835936,-1.7914657592773438,1022.922607421875
1759866471508810200,385.1678103027344,-1.765045166015625,1022.91943359375
1759866471608831700,385.2678317871094,-1.7967529296875,1022.923095703125
1759866471708852700,385.36785278320315,-1.8443069458007812,1022.928955078125
1759866471808874000,385.4678740234375,-1.765045166015625,1022.91943359375
1759866471908895500,385.5678955078125,-1.6276473999023438,1022.903076171875
1759866472008917000,385.6679169921875,-1.802032470703125,1022.924072265625
1759866472108938500,385.7679384765625,-1.8390274047851562,1022.92822265625
1759866472208960000,385.8679599609375,-1.7280502319335938,1022.914794921875
1759866472308981500,385.9679814453125,-1.6593475341796875,1022.906494140625
1759866472409003000,386.0680029296875,-1.9077224731445312,1022.9365234375
1759866472509024500,386.1680244140625,-1.9077224731445312,1022.9365234375
1759866472609046000,386.2680458984375,-2.0398406982421875,1022.952880859375
1759866472709067500,386.3680676269531,-1.9024429321289062,1022.93603515625
